team,players
kaa gent,"['Hyun-seok Hong', 'Tarik Tissoudali', 'Julien De Sart', 'Tsuyoshi Watanabe', 'Jordan Torunarigha', 'Archie Brown', 'Momodou Lamin Sonko', 'Matisse Samoise', 'Paul Nardi', 'Ismaël Kandouss', 'Daisuke Yokota']"
gnk dinamo zagreb,"['Martin Baturina', 'Bruno Petkovic', 'Ronaël Pierre-Gabriel', 'Marko Bulat', 'Mauro Perkovic', 'Dino Peric', 'Dario Spikic', 'Lukas Kacavenda', 'Josip Misic', 'Gabriel Vidovic', 'Sadegh Moharrami']"
paok thessaloniki,"['Giannis Konstantelias', 'Andrija Zivkovic', 'Jonny Otto', 'Kiril Despodov', 'Marcos Antônio', 'Konstantinos Koulierakis', 'Dominik Kotarski', 'Soualiho Meïté', 'Tomasz Kedziora', 'Magomed Ozdoev', 'Ally Samatta']"
sk sturm graz,"['Alexander Prass', 'Mika Biereth', 'Tomi Horvat', 'Otar Kiteishvili', 'Jusuf Gazibegovic', 'Vitezslav Jaros', 'Jon Gorenc Stankovic', 'Gregory Wüthrich', 'Dimitri Lavalée', 'David Affengruber', 'William Böving']"
krc genk,"['Bilal El Khannouss', 'Maarten Vandevoordt', 'Bryan Heynen', 'Mark McKenzie', 'Carlos Cuesta', 'Matías Galarza', 'Patrik Hrosovsky', 'Yira Sor', 'Tolu Arokodare', 'Christopher Bonsu Baah', 'Andi Zeqiri']"
az alkmaar,"['Vangelis Pavlidis', 'Yukinari Sugawara', 'Alexandre Penetra', 'Sven Mijnans', 'Myron van Brederode', 'David Møller Wolfe', 'Dani de Wit', 'Wouter Goes', 'Mathew Ryan', 'Riechedly Bazoer', 'Kristijan Belic']"
union saint-gilloise,"['Mohamed Amoura', 'Cameron Puertas', 'Koki Machida', 'Gustaf Nilsson', 'Kevin Mac Allister', 'Lazare Amani', 'Noah Sadiki', 'Alessio Castro-Montes', 'Loïc Lapoussin', 'Charles Vanhoutte', 'Kevin Rodríguez']"
club brugge kv,"['Igor Thiago', 'Andreas Skov Olsen', 'Antonio Nusa', 'Maxim De Cuyper', 'Raphael Onyedika', 'Hans Vanaken', 'Bjorn Meijer', 'Ferran Jutglà', 'Hugo Vetlesen', 'Philip Zinckernagel', 'Jorne Spileers']"
real betis balompié,"['Guido Rodríguez', 'Pablo Fornals', 'Rui Silva', 'Assane Diao', 'Nabil Fekir', 'Abde Ezzalzouli', 'Marc Roca', 'Johnny Cardoso', 'Isco', 'Juan Miranda', 'Ayoze Pérez']"
besiktas jk,"['Gedson Fernandes', 'Al-Musrati', 'Ernest Muci', 'Joe Worrall', 'Semih Kılıçsoy', 'Milot Rashica', 'Amir Hadziahmetovic', 'Daniel Amartey', 'Bakhtiyor Zaynutdinov', 'Alex Oxlade-Chamberlain', 'Arthur Masuaku']"
fenerbahce,"['Sebastian Szymanski', 'Ferdi Kadıoğlu', 'Fred', 'Cengiz Ünder', 'Çağlar Söyüncü', 'Dominik Livakovic', 'Jayden Oosterwolde', 'İsmail Yüksek', 'İrfan Can Kahveci', 'Alexander Djiku', 'Rodrigo Becão']"
eintracht frankfurt,"['Willian Pacho', 'Hugo Larsson', 'Omar Marmoush', 'Robin Koch', 'Farès Chaïbi', 'Hugo Ekitiké', 'Junior Dina Ebimbe', 'Ellyes Skhiri', 'Tuta', 'Ansgar Knauff', 'Niels Nkounkou']"
ajax amsterdam,"['Brian Brobbey', 'Jorrel Hato', 'Steven Bergwijn', 'Josip Sutalo', 'Chuba Akpom', 'Diant Ramaj', 'Kenneth Taylor', 'Carlos Forbs', 'Steven Berghuis', 'Branco van den Boomen', 'Borna Sosa']"
losc lille,"['Jonathan David', 'Leny Yoro', 'Angel Gomes', 'Lucas Chevalier', 'Bafodé Diakité', 'Edon Zhegrova', 'Yusuf Yazıcı', 'Benjamin André', 'Nabil Bentaleb', 'Hákon Arnar Haraldsson', 'Tiago Santos']"
aston villa,"['Douglas Luiz', 'Ollie Watkins', 'Moussa Diaby', 'Pau Torres', 'Jacob Ramsey', 'Boubacar Kamara', 'Leon Bailey', 'Ezri Konsa', 'John McGinn', 'Emiliano Martínez', 'Matty Cash']"
olympiacos piraeus,"['Daniel Podence', 'David Carmo', 'Fran Navarro', 'Santiago Hezze', 'Mady Camara', 'Francisco Ortega', 'Georgios Masouras', 'André Horta', 'Chiquinho', 'Giulian Biancone', 'Andreas Ndoj']"
acf fiorentina,"['Nicolás González', 'Dodô', 'Nikola Milenković', 'Lucas Beltrán', 'Arthur Melo', 'Michael Kayode', 'Lucas Martínez Quarta', 'Jonathan Ikoné', 'Fabiano Parisi', 'Maxime López', 'Christian Kouamé']"
cádiz cf,"['Juanmi', 'Conan Ledesma', 'Chris Ramos', 'Robert Navarro', 'Javi Hernández', 'Fali', 'Rominigue Kouamé', 'Diadié Samassékou', 'Maxi Gómez', 'Álex Fernández', 'Darwin Machís']"
rayo vallecano,"['Isi Palazón', 'Miguel Crespo', 'Óscar Valentín', 'Stole Dimitrievski', 'Álvaro García', 'Jorge de Frutos', 'Florian Lejeune', 'Unai López', 'Raúl de Tomás', 'Sergio Camello', 'Kike Pérez']"
rcd mallorca,"['Vedat Muriqi', 'Predrag Rajkovic', 'Samú Costa', 'Sergi Darder', 'Pablo Maffeo', 'Cyle Larin', 'Martin Valjent', 'Nemanja Radonjic', 'Siebe Van der Heyden', 'Nacho Vidal', 'Toni Lato']"
ud almería,"['Sergio Arribas', 'Lucas Robertone', 'Dion Lopy', 'Luís Maximiano', 'Luis Suárez', 'Largie Ramazani', 'Luka Romero', 'César Montes', 'Edgar González', 'Marc Pubill', 'Iddrisu Baba']"
granada cf,"['Myrto Uzuni', 'Facundo Pellistri', 'Matías Arezo', 'Lucas Boyé', 'Augusto Batalla', 'Bruno Méndez', 'Faitout Maouassa', 'Gerard Gumbau', 'Kamil Piatkowski', 'Gonzalo Villar', 'Martin Hongla']"
ud las palmas,"['Álvaro Valles', 'Kirian Rodríguez', 'Alberto Moleiro', 'Julián Araujo', 'Mika Mármol', 'Máximo Perrone', 'Sergi Cardona', 'Saúl Coco', 'Enzo Loiodice', 'Javi Muñoz', 'José Campaña']"
getafe cf,"['Borja Mayoral', 'Mason Greenwood', 'Gastón Álvarez', 'David Soria', 'Nemanja Maksimovic', 'Mauro Arambarri', 'Luis Milla', 'José Ángel Carmona', 'Djené', 'Diego Rico', 'Domingos Duarte']"
deportivo alavés,"['Samu Omorodion', 'Antonio Sivera', 'Ander Guevara', 'Antonio Blanco', 'Javi López', 'Rafa Marín', 'Luis Rioja', 'Jon Guridi', 'Álex Sola', 'Abdel Abqar', 'Rubén Duarte']"
ca osasuna,"['Aimar Oroz', 'David García', 'Jon Moncayola', 'Lucas Torró', 'Sergio Herrera', 'Ante Budimir', 'Moi Gómez', 'Alejandro Catena', 'Jesús Areso', 'Iker Muñoz', 'Rubén García']"
celta de vigo,"['Jørgen Strand Larsen', 'Jonathan Bamba', 'Óscar Mingueza', 'Manu Sánchez', 'Unai Núñez', 'Carl Starfelt', 'Fran Beltrán', 'Anastasios Douvikas', 'Renato Tapia', 'Tadeo Allende', 'Joseph Aidoo']"
real betis balompié,"['Guido Rodríguez', 'Pablo Fornals', 'Rui Silva', 'Assane Diao', 'Nabil Fekir', 'Abde Ezzalzouli', 'Marc Roca', 'Johnny Cardoso', 'Isco', 'Juan Miranda', 'Ayoze Pérez']"
sevilla fc,"['Youssef En-Nesyri', 'Dodi Lukébakio', 'Juanlu Sánchez', 'Isaac Romero', 'Boubakary Soumaré', 'Loïc Badé', 'Lucas Ocampos', 'Djibril Sow', 'Hannibal', 'Alejo Véliz', 'Kike Salas']"
villarreal cf,"['Yéremy Pino', 'Álex Baena', 'Gonçalo Guedes', 'Juan Foyth', 'Alexander Sørloth', 'Filip Jørgensen', 'Gerard Moreno', 'Ilias Akhomach', 'Bertrand Traoré', 'Alfonso Pedraza', 'Santi Comesaña']"
athletic bilbao,"['Nico Williams', 'Oihan Sancet', 'Iñaki Williams', 'Unai Simón', 'Dani Vivian', 'Gorka Guruzeta', 'Aitor Paredes', 'Álex Berenguer', 'Yeray Álvarez', 'Beñat Prados', 'Iker Muniain']"
real sociedad,"['Takefusa Kubo', 'Mikel Merino', 'Mikel Oyarzabal', 'Martín Zubimendi', 'Brais Méndez', 'Robin Le Normand', 'Álex Remiro', 'Igor Zubeldia', 'Ander Barrenetxea', 'Arsen Zakharyan', 'Umar Sadiq']"
valencia cf,"['Giorgi Mamardashvili', 'José Gayà', 'Javi Guerra', 'Pepelu', 'Hugo Duro', 'André Almeida', 'Cristhian Mosquera', 'Diego López', 'Yarek Gasiorowski', 'Hugo Guillamón', 'Fran Pérez']"
fc barcelona,"['Gavi', 'Pedri', 'Lamine Yamal', 'Frenkie de Jong', 'Ronald Araujo', 'Raphinha', 'Jules Koundé', 'Andreas Christensen', 'Alejandro Balde', 'Vitor Roque', 'Ferran Torres']"
atlético de madrid,"['Nahuel Molina', 'Jan Oblak', 'Rodrigo de Paul', 'Marcos Llorente', 'Arthur Vermeeren', 'Antoine Griezmann', 'José María Giménez', 'Mario Hermoso', 'Rodrigo Riquelme', 'Samuel Lino', 'Pablo Barrios']"
girona fc,"['Sávio', 'Artem Dovbyk', 'Viktor Tsygankov', 'Aleix García', 'Yangel Herrera', 'Miguel Gutiérrez', 'Iván Martín', 'Eric García', 'Yan Couto', 'Arnau Martínez', 'Paulo Gazzaniga']"
real madrid,"['Jude Bellingham', 'Vinicius Junior', 'Federico Valverde', 'Rodrygo', 'Aurélien Tchouaméni', 'Eduardo Camavinga', 'Éder Militão', 'Brahim Díaz', 'Thibaut Courtois', 'David Alaba', 'Antonio Rüdiger']"
sv darmstadt 98,"['Marvin Mehlem', 'Tim Skarke', 'Christoph Klarer', 'Fabian Nürnberger', 'Matthias Bader', 'Bartol Franjic', 'Matej Maglica', 'Oscar Vilhelmsson', 'Clemens Riedel', 'Fraser Hornby', 'Gerrit Holtmann']"
1.fc heidenheim 1846,"['Jan-Niklas Beste', 'Eren Dinkçi', 'Tim Kleindienst', 'Lennard Maloney', 'Benedikt Gimber', 'Patrick Mainka', 'Marvin Pieringer', 'Jan Schöppner', 'Jonas Föhrenbach', 'Tim Siersleben', 'Omar Traoré']"
vfl bochum,"['Patrick Osterhage', 'Erhan Masovic', 'Bernardo', 'Keven Schlotterbeck', 'Kevin Stöger', 'Takuma Asano', 'Tim Oermann', 'Matus Bero', 'Ivan Ordets', 'Maximilian Wittek', 'Moritz Broschinski']"
1.fc köln,"['Jeff Chabot', 'Eric Martel', 'Dejan Ljubicic', 'Timo Hübers', 'Jan Thielmann', 'Marvin Schwäbe', 'Linton Maina', 'Max Finkgräfe', 'Denis Huseinbasic', 'Florian Kainz', 'Davie Selke']"
sv werder bremen,"['Marvin Ducksch', 'Justin Njinmah', 'Jens Stage', 'Marco Friedl', 'Romano Schmid', 'Mitchell Weiser', 'Olivier Deman', 'Niklas Stark', 'Amos Pieper', 'Senne Lynen', 'Milos Veljkovic']"
fc augsburg,"['Ermedin Demirovic', 'Arne Engels', 'Felix Uduokhai', 'Rubén Vargas', 'Kristijan Jakic', 'Iago', 'Finn Dahmen', 'Niklas Dorsch', 'Pep Biel', 'Phillip Tietz', 'Dion Beljo']"
1.fsv mainz 05,"['Leandro Barreiro', 'Brajan Gruda', 'Andreas Hanche-Olsen', 'Jonathan Burkardt', 'Anthony Caci', 'Sepp van den Berg', 'Tom Krauß', 'Nelson Weiper', 'Edimilson Fernandes', 'Nadiem Amiri', 'Ludovic Ajorque']"
1.fc union berlin,"['Danilho Doekhi', 'Diogo Leite', 'Brenden Aaronson', 'Robin Gosens', 'Josip Juranovic', 'Rani Khedira', 'Aïssa Laïdouni', 'Alex Král', 'Lucas Tousart', 'Frederik Rönnow', 'Kevin Volland']"
tsg 1899 hoffenheim,"['Maximilian Beier', 'Anton Stach', 'Mergim Berisha', 'Ozan Kabak', 'David Jurásek', 'Wout Weghorst', 'Grischa Prömel', 'Florian Grillitsch', 'Robert Skov', 'Andrej Kramaric', 'Umut Tohumcu']"
borussia mönchengladbach,"['Manu Koné', 'Ko Itakura', 'Maximilian Wöber', 'Franck Honorat', 'Joe Scally', 'Nico Elvedi', 'Julian Weigl', 'Rocco Reitz', 'Luca Netz', 'Tomas Cvancara', 'Florian Neuhaus']"
sc freiburg,"['Philipp Lienhart', 'Kiliann Sildillia', 'Matthias Ginter', 'Roland Sallai', 'Ritsu Doan', 'Vincenzo Grifo', 'Maximilian Eggestein', 'Merlin Röhl', 'Michael Gregoritsch', 'Noah Atubolu', 'Noah Weißhaupt']"
vfl wolfsburg,"['Lovro Majer', 'Jonas Wind', 'Maxence Lacroix', 'Patrick Wimmer', 'Mattias Svanberg', 'Joakim Maehle', 'Aster Vranckx', 'Maximilian Arnold', 'Koen Casteels', 'Vaclav Cerny', 'Ridle Baku']"
eintracht frankfurt,"['Willian Pacho', 'Hugo Larsson', 'Omar Marmoush', 'Robin Koch', 'Farès Chaïbi', 'Hugo Ekitiké', 'Junior Dina Ebimbe', 'Ellyes Skhiri', 'Tuta', 'Ansgar Knauff', 'Niels Nkounkou']"
vfb stuttgart,"['Serhou Guirassy', 'Enzo Millot', 'Chris Führich', 'Hiroki Ito', 'Deniz Undav', 'Waldemar Anton', 'Angelo Stiller', 'Maximilian Mittelstädt', 'Alexander Nübel', 'Atakan Karazor', 'Dan-Axel Zagadou']"
borussia dortmund,"['Julian Brandt', 'Gregor Kobel', 'Donyell Malen', 'Nico Schlotterbeck', 'Ian Maatsen', 'Karim Adeyemi', 'Jamie Bynoe-Gittens', 'Jadon Sancho', 'Felix Nmecha', 'Youssoufa Moukoko', 'Niklas Süle']"
rb leipzig,"['Xavi Simons', 'Loïs Openda', 'Dani Olmo', 'Castello Lukeba', 'Benjamin Sesko', 'Mohamed Simakan', 'Xaver Schlager', 'Eljif Elmas', 'Benjamin Henrichs', 'Christoph Baumgartner', 'David Raum']"
bayer 04 leverkusen,"['Florian Wirtz', 'Jeremie Frimpong', 'Alejandro Grimaldo', 'Exequiel Palacios', 'Edmond Tapsoba', 'Victor Boniface', 'Odilon Kossounou', 'Piero Hincapié', 'Jonathan Tah', 'Amine Adli', 'Nathan Tella']"
bayern munich,"['Harry Kane', 'Jamal Musiala', 'Leroy Sané', 'Kingsley Coman', 'Matthijs de Ligt', 'Joshua Kimmich', 'Alphonso Davies', 'Min-jae Kim', 'Dayot Upamecano', 'Serge Gnabry', 'Mathys Tel']"
luton town,"['Albert Sambi Lokonga', 'Carlton Morris', 'Elijah Adebayo', 'Teden Mengi', 'Issa Kaboré', 'Ross Barkley', 'Chiedozie Ogbene', 'Alfie Doughty', 'Marvelous Nakamba', 'Tahith Chong', 'Jacob Brown']"
sheffield united,"['Anel Ahmedhodzic', 'Gustavo Hamer', 'Cameron Archer', 'James McAtee', 'Vini Souza', 'Auston Trusty', 'Ben Brereton Díaz', 'Tom Davies', 'John Egan', 'Mason Holgate', 'Oli McBurnie']"
burnley fc,"['Sander Berge', 'Josh Brownhill', 'James Trafford', 'Jordan Beyer', 'Zeki Amdouni', 'Ameen Al-Dakhil', 'Aaron Ramsey', 'Josh Cullen', 'Mike Trésor', 'Lyle Foster', 'Lorenz Assignon']"
wolverhampton wanderers,"['Pedro Neto', 'Matheus Cunha', 'Max Kilman', 'Rayan Aït-Nouri', 'João Gomes', 'Hee-chan Hwang', 'Toti', 'José Sá', 'Jean-Ricner Bellegarde', 'Pablo Sarabia', 'Nélson Semedo']"
fulham fc,"['João Palhinha', 'Alex Iwobi', 'Armando Broja', 'Issa Diop', 'Andreas Pereira', 'Antonee Robinson', 'Harrison Reed', 'Timothy Castagne', 'Harry Wilson', 'Calvin Bassey', 'Kenny Tete']"
everton fc,"['Amadou Onana', 'Jarrad Branthwaite', 'Vitaliy Mykolenko', 'Jordan Pickford', 'Dominic Calvert-Lewin', 'Jack Harrison', 'James Garner', 'Beto', 'Dwight McNeil', 'Arnaut Danjuma', 'Nathan Patterson']"
afc bournemouth,"['Dominic Solanke', 'Ilya Zabarnyi', 'Philip Billing', 'Enes Ünal', 'Marcus Tavernier', 'Marcos Senesi', 'Milos Kerkez', 'Dango Ouattara', 'Alex Scott', 'Tyler Adams', 'Max Aarons']"
nottingham forest,"['Morgan Gibbs-White', 'Ibrahim Sangaré', 'Taiwo Awoniyi', 'Danilo', 'Murillo', 'Anthony Elanga', 'Giovanni Reyna', 'Nicolás Domínguez', 'Neco Williams', 'Moussa Niakhaté', 'Nuno Tavares']"
crystal palace,"['Michael Olise', 'Eberechi Eze', 'Marc Guéhi', 'Joachim Andersen', 'Cheick Doucouré', 'Tyrick Mitchell', 'Jefferson Lerma', 'Odsonne Edouard', 'Adam Wharton', 'Daniel Muñoz', 'Matheus França']"
brentford fc,"['Ivan Toney', 'Bryan Mbeumo', 'Mathias Jensen', 'Aaron Hickey', 'Rico Henry', 'Yoane Wissa', 'Nathan Collins', 'Kevin Schade', 'Vitaly Janelt', 'Christian Nørgaard', 'Kristoffer Ajer']"
west ham united,"['Lucas Paquetá', 'Jarrod Bowen', 'Mohammed Kudus', 'Nayef Aguerd', 'James Ward-Prowse', 'Tomas Soucek', 'Edson Álvarez', 'Kalvin Phillips', 'Kurt Zouma', 'Konstantinos Mavropanos', 'Emerson']"
brighton & hove albion,"['Evan Ferguson', 'Kaoru Mitoma', 'João Pedro', 'Pervis Estupiñán', 'Ansu Fati', 'Simon Adingra', 'Solly March', 'Julio Enciso', 'Adam Webster', 'Carlos Baleba', 'Billy Gilmour']"
newcastle united,"['Bruno Guimarães', 'Alexander Isak', 'Anthony Gordon', 'Sven Botman', 'Joelinton', 'Sandro Tonali', 'Joe Willock', 'Harvey Barnes', 'Tino Livramento', 'Sean Longstaff', 'Lewis Miley']"
aston villa,"['Douglas Luiz', 'Ollie Watkins', 'Moussa Diaby', 'Pau Torres', 'Jacob Ramsey', 'Boubacar Kamara', 'Leon Bailey', 'Ezri Konsa', 'John McGinn', 'Emiliano Martínez', 'Matty Cash']"
manchester united,"['Bruno Fernandes', 'Rasmus Højlund', 'Marcus Rashford', 'Lisandro Martínez', 'André Onana', 'Mason Mount', 'Alejandro Garnacho', 'Luke Shaw', 'Diogo Dalot', 'Kobbie Mainoo', 'Scott McTominay']"
liverpool fc,"['Dominik Szoboszlai', 'Luis Díaz', 'Trent Alexander-Arnold', 'Alexis Mac Allister', 'Darwin Núñez', 'Mohamed Salah', 'Diogo Jota', 'Cody Gakpo', 'Ibrahima Konaté', 'Andrew Robertson', 'Curtis Jones']"
chelsea fc,"['Enzo Fernández', 'Moisés Caicedo', 'Christopher Nkunku', 'Cole Palmer', 'Reece James', 'Levi Colwill', 'Conor Gallagher', 'Raheem Sterling', 'Axel Disasi', 'Roméo Lavia', 'Mykhaylo Mudryk']"
tottenham hotspur,"['James Maddison', 'Cristian Romero', 'Dejan Kulusevski', 'Heung-min Son', 'Micky van de Ven', 'Brennan Johnson', 'Pedro Porro', 'Destiny Udogie', 'Richarlison', 'Pape Matar Sarr', 'Guglielmo Vicario']"
arsenal fc,"['Bukayo Saka', 'Declan Rice', 'Martin Ødegaard', 'William Saliba', 'Gabriel Martinelli', 'Gabriel Jesus', 'Gabriel Magalhães', 'Kai Havertz', 'Ben White', 'Oleksandr Zinchenko', 'Jurrien Timber']"
manchester city,"['Erling Haaland', 'Phil Foden', 'Rodri', 'Julián Álvarez', 'Bernardo Silva', 'Rúben Dias', 'Josko Gvardiol', 'Jack Grealish', 'Jérémy Doku', 'Kevin De Bruyne', 'Matheus Nunes']"
rotherham united,"['Viktor Johansson', 'Oliver Rathbone', 'Cameron Humphreys', 'Andy Rinomhota', 'Christ Tiehi', 'Tyler Blackett', 'Jamie Lindsay', 'Andre Green', 'Hakeem Odoffin', 'Arvin Appiah', 'Sam Nombe']"
sheffield wednesday,"['James Beadle', 'Iké Ugbo', ""Di'Shon Bernard"", 'Will Vaulks', 'Ian Poveda', 'Anthony Musaba', 'Djeidi Gassama', 'Callum Paterson', 'Juan Delgado', 'Kristian Pedersen', 'Jeff Hendrick']"
plymouth argyle,"['Morgan Whittaker', 'Alfie Devine', 'Ashley Phillips', 'Bali Mumba', 'Lino Sousa', 'Adam Randell', 'Ryan Hardie', 'Julio Pleguezuelo', 'Lewis Gibson', 'Jordan Houghton', 'Conor Hazard']"
queens park rangers,"['Ilias Chair', 'Sam Field', 'Kenneth Paal', 'Isaac Hayden', 'Jimmy Dunne', 'Reggie Cannon', 'Lyndon Dykes', 'Chris Willock', 'Michael Frey', 'Joe Hodge', 'Jake Clarke-Salter']"
huddersfield town,"['Jack Rudoni', 'Sorba Thomas', 'Michal Helik', 'Ben Wiles', 'Delano Burgzorg', 'Matty Pearson', 'Rhys Healey', 'Yuta Nakayama', 'Josh Koroma', 'Tom Edwards', 'David Kasumu']"
preston north end,"['Jordan Storey', 'Freddie Woodman', 'Alan Browne', 'Ben Whiteman', 'Emil Riis', 'Mads Frøkjaer-Jensen', 'Liam Lindsay', 'Ali McCann', 'Liam Millar', 'Milutin Osmajic', 'Brad Potts']"
bristol city,"['Jason Knight', 'Rob Dickie', 'Scott Twine', 'Zak Vyner', 'George Tanner', 'Taylor Gardner-Hickman', 'Tommy Conway', 'Cameron Pring', ""Max O'Leary"", 'Rob Atkinson', 'Ross McCrorie']"
millwall fc,"['Brooke Norton-Cuffy', 'Zian Flemming', 'Billy Mitchell', 'Jake Cooper', 'Michael Obafemi', 'Japhet Tanganga', 'Kevin Nisbet', 'Casper De Norre', 'Allan Campbell', 'Danny McNamara', 'Ryan Longman']"
ipswich town,"['Leif Davis', 'Omari Hutchinson', 'Nathan Broadhead', 'Harry Clarke', 'Lewis Travis', 'Jeremy Sarmiento', 'George Hirst', 'Conor Chaplin', 'Brandon Williams', 'Kieffer Moore', 'Axel Tuanzebe']"
cardiff city,"['Mark McGuinness', 'Josh Wilson-Esbrand', 'Karlan Grant', 'Perry Ng', 'David Turnbull', 'Ryan Wintle', 'Nathaniel Phillips', 'Manolis Siopis', 'Dimitrios Goutas', 'Callum Robinson', ""Callum O'Dowda""]"
birmingham city,"['Jordan James', 'Juninho Bacuna', 'Dion Sanderson', 'Jay Stansfield', 'Emanuel Aiwu', 'Ethan Laird', 'Cody Drameh', 'Tyler Roberts', 'Krystian Bielik', 'Siriki Dembélé', 'George Hall']"
blackburn rovers,"['Tyrhys Dolan', 'Yasin Ayari', 'Sammie Szmodics', 'Harry Pickering', 'Arnór Sigurdsson', 'Dominic Hyam', 'Andrew Moran', 'Callum Brittain', 'Hayden Carter', 'Scott Wharton', 'John Buckley']"
west bromwich albion,"['Grady Diangana', 'John Swift', 'Alex Mowatt', 'Darnell Furlong', 'Josh Maja', 'Daryl Dike', 'Jed Wallace', 'Okay Yokuşlu', 'Jayson Molumby', 'Brandon Thomas-Asante', 'Cédric Kipré']"
coventry city,"['Haji Wright', 'Ellis Simms', 'Josh Eccles', 'Milan van Ewijk', 'Ben Sheaf', 'Liam Kitching', ""Callum O'Hare"", 'Joel Latibeaudiere', 'Tatsuhiro Sakamoto', 'Bobby Thomas', 'Luis Binks']"
stoke city,"['Wouter Burger', 'Ben Wilmot', 'Luke Cundle', 'Sead Haksabanovic', 'Luke McNally', 'Ki-Jana Hoever', 'Million Manhoef', 'Ryan Mmaee', 'Daniel Iversen', 'Mehdi Léris', 'Ben Pearson']"
watford fc,"['Ismaël Koné', 'Yáser Asprilla', 'Matheus Martins', 'Emmanuel Dennis', 'Jamal Lewis', 'Ryan Porteous', 'Edo Kayembe', 'Vakoun Bayo', 'Giorgi Chakvetadze', 'Daniel Bachmann', 'Wesley Hoedt']"
norwich city,"['Gabriel Sara', 'Josh Sargent', 'Jonathan Rowe', 'Sydney van Hooijdonk', 'Marcelino Núñez', 'Dimitrios Giannoulis', 'Jack Stacey', 'Angus Gunn', 'Christian Fassnacht', 'Borja Sainz', 'Liam Gibbs']"
swansea city,"['Ben Cabango', 'Charlie Patino', 'Matt Grimes', 'Bashir Humphreys', 'Nathan Wood', 'Jerry Yates', 'Oliver Cooper', 'Carl Rushworth', 'Josh Tymon', 'Harry Darling', 'Ronald']"
middlesbrough fc,"['Luke Thomas', 'Hayden Hackney', 'Dael Fry', ""Lewis O'Brien"", 'Paddy McNair', 'Sam Greenwood', 'Emmanuel Latte Lath', 'Riley McGree', 'Rav van den Berg', 'Isaiah Jones', 'Finn Azaz']"
sunderland afc,"['Jack Clarke', 'Anthony Patterson', 'Jobe Bellingham', 'Trai Hume', 'Dan Neil', 'Daniel Ballard', 'Patrick Roberts', 'Timothée Pembélé', 'Abdoullah Ba', 'Pierre Ekwah', 'Callum Styles']"
hull city,"['Fábio Carvalho', 'Jacob Greaves', 'Jaden Philogene', 'Anass Zaroury', 'Abdülkadir Ömür', 'Liam Delap', 'Tyler Morton', 'Ryan Giles', 'Alfie Jones', 'Regan Slater', 'Ozan Tufan']"
southampton fc,"['Taylor Harwood-Bellis', 'Kyle Walker-Peters', 'Adam Armstrong', 'Ché Adams', 'Gavin Bazunu', 'Kamaldeen Sulemana', 'Jan Bednarek', 'Shea Charles', 'David Brooks', 'Samuel Edozie', 'Flynn Downes']"
leeds united,"['Pascal Struijk', 'Crysencio Summerville', 'Georginio Rutter', 'Illan Meslier', 'Wilfried Gnonto', 'Archie Gray', 'Ethan Ampadu', 'Daniel James', 'Joël Piroe', 'Connor Roberts', 'Glen Kamara']"
leicester city,"['Kiernan Dewsbury-Hall', 'Wout Faes', 'Wilfred Ndidi', 'James Justin', 'Callum Doyle', 'Patson Daka', 'Kelechi Iheanacho', 'Harry Winks', 'Stephy Mavididi', 'Ricardo Pereira', 'Harry Souttar']"
